Claimant,Amount,Bonus,Bonus Amount,81958,
0x09eb25393688dbf8eb7457ca516f5e97c25fc05d,410.748909,68.57441575,,,
0x3aa3377aece2a3b115ef89fb866488a8c9d0cccc,406.4399941,67.85504361,,,
0x5fc8e6724f69cb3ecce03adaa4512ac3596166bb,400,66.77988839,,,
0xbcab07fbdf6991a131d1c1a9c9228048571f8673,400,66.77988839,,,
0xbe68942c03281b9084e886b92c3ef7e0f451bf32,400,66.77988839,,,
0x9f3d352cae9cb98a3a469534a81b8fc1e6b281a8,389.3769266,65.00636925,,,
0xf31ccfa657abeab1af2516767891d10b54dc4ecc,385.756586,64.4019544,,,
0x00bd08771c41b0f6c4b7c0079568316911c3cfdd,377.064,62.95072959,,,
0x328744a953b6ebedb7b645545dd77cb6afaa81b8,361.992,60.4344634,,,
0x673547d10441dd726504dfe94655357ae0488fb6,361.767157,60.39692592,,,
0xa5f1e6b5eddaf5381deb698f8d7a93c81c76a710,360.0011636,60.10209382,,,
0x06c42cd56a0c50da5fd01763f37ede122c4e964e,359.908,60.08654018,,,
0xfc527e222254f7fd7451853a18c77935b582f9db,357.43072,59.67295898,,,
0x3760a24b81d6db6e44bd2eb36b532e664a660a3d,356.2449223,59.47499038,,,
0x921a0bd7c6e581da46e819476f19f7eaab3256ae,350.1914545,58.46436562,,,
0x07b27bfd42c211829fd5d676d70990288bb42c9e,346.586,57.862436,,,
0x50f7c9d277c572fbeac18274b9224e55dc1fa8f8,338.209,56.46389818,,,
0x8edab1576b34b0bfdcdf4f368efde5200ff6f4e8,336.1023937,56.11220085,,,
0xa53eff9f0ba54314169791e9273ebc6c526f4890,331.8975877,55.41020966,,,
0xf152581b8cb486b24d73ad51e23a3fd3e0222538,327.6648072,54.70354814,,,
0xfa6e743bb587fb67fcb42fe7fcc63e945eb2eaee,324.4690371,54.17001521,,,
0x88a9ddab17378033711f259408f27f149e06cbf6,321.8386414,53.73087138,,,
0xa04173bbf90f6e88e5cf4519c1d0da2d2d410498,318.6584017,53.19993125,,,
0x2313b4f3487cbb48a3128d0e16935a341c8a07bf,317.5111277,53.00839418,,,
0x9319ac819ed90a19860070d903a4ddea1270e228,315.8757496,52.73536826,,,
0x43af588b70c6ac1ddd97dba4082cb81848d406ab,312.383187,52.15228591,,,
0xfc4fe3af75beb6ddc08fbe5c52a66ed4a9b0ff97,304.8055886,50.88720797,,,
